country,LocCode,time_period,dpt,measles,tetanus,co2_metric_tons_per_capita,sf6_metric_tons,nitrous_oxide_metric_tons,hfc_metric_tons,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",life_expectancy_total,life_expectancy_female,life_expectancy_male,alcohol,tobacco,working_hours,bmi_over30,pm2_5,polio,bcg,hepb
Malta,MLT,2003,94,90,0,6.54821315336827,0,60,0,0,78.5463414634146,80.8,76.4,6.54 ,0.0,0.0,22.7 ,0,0.0,0.0,89.0
Netherlands,NLD,2003,98,96,0,10.4996505217809,0,12990,0,0,78.4926829268293,80.9,76.2,9.48 ,0.0,1379.0,13.5 ,0,0.0,0.0,0.0
North Macedonia,MKD,2003,96,96,0,4.50963198311935,0,570,0,0,73.2414634146342,75.7,70.9,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2003,92,86,0,8.14264596990382,0,4710,0,0,79.390243902439,81.9,77,6.04 ,0.0,1401.0,16.6 ,0,0.0,0.0,0.0
Poland,POL,2003,99,97,0,7.79304703563809,0,22960,0,0,74.5975609756098,78.9,70.5,9.06 ,0.0,1766.25650304488,17.3 ,0,0.0,93.0,97.0
Portugal,PRT,2003,99,96,0,5.78650313049279,0,3810,0,0,77.219512195122,80.6,74,12.22 ,0.0,1696.91531486021,13.4 ,0,0.0,81.0,94.0
Romania,ROU,2003,97,97,0,4.54892539352786,0,9910,0,0,71.309756097561,75.1,67.7,11.55 ,0.0,0.0,16.3 ,0,0.0,99.0,98.0
Serbia,SRB,2003,89,87,0,6.97137452453675,0,4070,0,0,72.4365853658537,75.1,69.9,0,0.0,0.0,15 ,0,0.0,94.0,0.0
Slovak Republic,SVK,2003,99,99,0,7.13332104392039,0,2790,0,0,73.6048780487805,77.6,69.8,0,0.0,1617.60705921805,0,0,0.0,0.0,0.0
Slovenia,SVN,2003,95,94,0,7.72147368781901,0,860,0,0,76.8585365853659,80.7,73.2,11.55 ,0.0,1637.0,14.1 ,0,0.0,97.0,0.0
Spain,ESP,2003,98,98,0,7.55339634772477,0,24010,0,0,79.619512195122,83,76.4,11.04 ,0.0,1708.0,18.6 ,0,0.0,0.0,81.0
Sweden,SWE,2003,99,95,0,6.16193231529798,0,5500,0,0,80.0951219512195,82.4,77.9,6.88 ,0.0,1431.29835025705,14.6 ,0,0.0,17.0,0.0
Switzerland,CHE,2003,93,82,0,6.10982341501083,0,2470,0,0,80.5365853658537,83.2,78,10.82 ,0.0,1664.5,13.6 ,0,0.0,0.0,0.0
Turkiye,TUR,2003,68,75,53,3.27753498598963,0,24800,0,0,72.89,76.252,69.624,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2003,91,82,0,9.10414144781345,0,32230,0,0,78.4463414634146,80.7,76.3,0,0.0,1487.89548440764,0,0,0.0,0.0,0.0
Albania,ALB,2004,97,96,85,1.40405868767094,0,1260,0,0,76.376,79.237,73.786,4.42 ,0.0,0.0,13.7 ,0,0.0,97.0,99.0
Austria,AUT,2004,83,74,0,9.27561409968639,0,3930,0,0,79.1804878048781,82.1,76.4,12.17 ,0.0,1529.0,14.7 ,0,0.0,0.0,83.0
Belgium,BEL,2004,95,82,0,10.9412242294738,0,7280,0,0,78.8780487804878,81.9,76,12.05 ,0.0,1464.0,17.9 ,0,0.0,0.0,64.0
Bulgaria,BGR,2004,95,95,0,6.12554853369942,0,4340,0,0,72.5634146341463,76.2,69.1,10.7 ,0.0,0.0,19 ,0,0.0,98.0,94.0
Croatia,HRV,2004,96,96,0,4.90173311840118,0,2640,0,0,75.520243902439,79.08,72.13,12.42 ,0.0,0.0,17.5 ,0,0.0,98.0,0.0
Cyprus,CYP,2004,98,86,0,7.63730480679813,0,390,0,0,77.944,80.105,75.815,13.03 ,0.0,0.0,16.7 ,0,0.0,0.0,88.0
Czechia,CZE,2004,98,97,0,12.1054015686817,0,5190,0,0,75.7219512195122,79,72.6,13.42 ,0.0,0.0,21 ,0,0.0,99.0,98.0
Denmark,DNK,2004,95,96,0,9.94167284369708,0,5540,0,0,77.4926829268293,79.9,75.2,11.26 ,0.0,1413.8545663273,14.1 ,0,0.0,0.0,0.0
Estonia,EST,2004,94,96,0,12.4912850594574,0,1250,0,0,71.909756097561,77.8,66.3,15.52 ,0.0,1861.0,15.7 ,0,0.0,99.0,90.0
Finland,FIN,2004,98,97,0,12.9452512857603,0,6230,0,0,78.7146341463415,82.3,75.3,9.89 ,0.0,1554.0,17.3 ,0,0.0,98.0,0.0
France,FRA,2004,98,88,0,6.02379241763573,0,44690,0,0,80.1634146341463,83.8,76.7,13.14 ,0.0,1424.89645330535,16.5 ,0,0.0,85.0,35.0
